Problem Size,Simple Average Time,Incremental Average Time
10000,9.982e-05s,7.2228e-05s
100000,0.000928838s,0.000720972s
1000000,0.00658835s,0.00720112s
10000000,0.0605861s,0.0722415s
100000000,0.60433s,0.724818s
1000000000,6.03195s,7.2137s
10000000000,8.57568s,10.3062s
